Ward No.,Household,Total Population,Total Male,Total Female
1,2838,11928,5897,6031
2,2391,9914,4972,4942
3,4238,16002,7824,8178
4,3455,15346,7673,7673
5,3374,14880,7520,7360
6,3445,17748,9154,8594
7,2028,8342,4241,4101
8,3151,13880,7140,6740
9,1347,7245,3707,3538
10,2964,12295,6300,5995
11,3139,12792,6560,6232
12,3660,15697,8033,7664
13,1619,6701,3436,3265
14,2094,10910,5582,5328
15,2551,12515,6423,6092
16,1396,6537,3237,3300
17,1441,8393,4250,4143
18,1447,7898,4054,3844
19,1220,5640,2824,2816
Total,47798,214663,108827,105836
