Ward No.,Household,Total Population,Total Male,Total Female
1,993,4361,1962,2399
2,905,4312,2089,2223
3,1663,7479,3494,3985
4,1816,8126,3647,4479
5,2786,11648,5761,5887
6,3313,12969,6301,6668
7,2425,10817,5005,5812
8,1229,5641,2748,2893
9,1169,4925,2340,2585
10,1347,6497,3017,3480
11,1794,8661,4061,4600
12,1771,8838,4247,4591
13,1227,5489,2522,2967
14,1266,6040,2781,3259
15,1469,6939,3178,3761
16,1535,7603,3554,4049
17,1553,7261,3372,3889
18,1657,7671,3676,3995
19,1325,6251,2920,3331
Total,31243,141528,66675,74853
