District,Total number of active male accounts,Total number of active female accounts,Total population,Percentage of active male accounts,Percentage of active female accounts
(All),9168740,5816647,22183283,2770,1714
Achham,19955,12601,117518,17,11
Arghakhanchi,53067,42736,196895,27,22
Baglung,70574,48476,228538,31,21
Baitadi,24311,12341,170289,14,7
Bajhang,13648,5870,39345,35,15
Bajura,10940,4283,38495,28,11
Banke,187983,101374,447704,42,23
Bara,89153,33608,602616,15,6
Bardiya,56948,41335,423611,13,10
Bhaktapur,164840,114103,298704,55,38
Bhojpur,24574,13380,124246,20,11
Chitawan,348534,256421,569732,61,45
Dadeldhura,31191,20879,91825,34,23
Dailekh,25182,19312,159417,16,12
Dang,170143,134761,522938,33,26
Darchula,23087,12791,73828,31,17
Dhading,105533,55350,277327,38,20
Dhankuta,28865,16468,161398,18,10
Dhanusa,158795,83915,669473,24,13
Dolakha,82720,44484,147827,56,30
Dolpa,3784,1618,10643,36,15
Doti,20309,13721,146854,14,9
Gorkha,98248,56675,232460,42,24
Gulmi,70137,75679,235070,30,32
Humla,10091,5672,21425,47,26
Ilam,66151,45196,266313,25,17
Jajarkot,8898,2996,33515,27,9
Jhapa,266009,174294,807934,33,22
Jumla,19593,9008,82371,24,11
Kailali,201338,127190,744606,27,17
Kalikot,12264,6072,52326,23,12
Kanchanpur,92712,54977,369291,25,15
Kapilbastu,110837,69686,569834,19,12
Kaski,399841,332603,480952,83,69
Kathmandu,2313582,1318741,1699289,136,78
Kavrepalanchok,166368,86942,321711,52,27
Khotang,21024,9891,143819,15,7
Lalitpur,390782,254731,447897,87,57
Lamjung,70356,52609,166150,42,32
Mahottari,55552,34137,611342,9,6
Makwanpur,126714,74477,334992,38,22
Manang,3131,1567,3067,102,51
Morang,293595,197955,869035,34,23
Mugu,6525,2064,37198,18,6
Mustang,6229,3694,5359,116,69
Myagdi,35127,32923,92322,38,36
Nawalparasi East,81973,75835,291747,28,26
Nawalparasi West,96365,76026,328085,29,23
Nuwakot,95032,37767,152313,62,25
Okhaldhunga,35151,20240,65310,54,31
Palpa,71165,68182,239304,30,28
Panchthar,29200,18655,159281,18,12
Parbat,51966,48329,145667,36,33
Parsa,206628,75425,357859,58,21
Pyuthan,29661,16534,140700,21,12
Ramechhap,56245,24034,201423,28,12
Rasuwa,46797,30956,42133,111,73
Rautahat,80783,33574,437050,18,8
Rolpa,16863,9887,164356,10,6
Rukum East,910,390,16497,6,2
Rukum West,20748,13209,135576,15,10
Rupandehi,518782,352476,875628,59,40
Salyan,23236,14510,152321,15,10
Sankhuwasabha,27248,14391,89578,30,16
Saptari,67961,37523,452851,15,8
Sarlahi,91979,47276,568918,16,8
Sindhuli,60286,33411,220656,27,15
Sindhupalchok,107176,50676,197565,54,26
Siraha,124551,73240,607105,21,12
Solukhumbu,21755,6738,54594,40,12
Sunsari,259275,173146,643367,40,27
Surkhet,90813,50830,300803,30,17
Syangja,97472,115733,288100,34,40
Tanahu,109947,113385,320547,34,35
Taplejung,19561,11663,53249,37,22
Terhathum,16073,10575,75055,21,14
Udayapur,53898,42425,258144,21,16
