District,Paddy Area,Paddy Prod.,Paddy Yield,Maize Area,Maize Prod.,Maize Yield,MilletArea,Millet Prod.,Millet Yield,Buckwheat Area,Buckwheat Prod.,Buckwheat Yield,WheatArea,Wheat Prod.,Wheat Yield,BarleyArea,BarleyProd.,Barley Yield
TAPLEJUNG ,4075,8680,2130,9150,27450,3000,3050,4118,1350,118,165,1398,1560,2811,1802,312,378,1212
SANKHUWASHAVA,13655,29650,2171,12070,20105,1666,7071,7195,1018,15,16,1067,500,1100,2200,14,13,933
SOLUKHUMBU,1525,3575,2344,12950,29499,2278,2100,2625,1250,170,150,882,1750,3672,2098,182,179,985
E.MOUNTAIN,19255,41905,2176,34170,77054,2255,12221,13938,1140,303,331,1092,3810,7583,1990,508,571,1123
PANCHTHAR,9250,21184,2290,18513,38435,2076,4815,9004,1870,-,-,-,3915,6455,1649,354,412,1165
ILLAM,12500,31750,2540,31395,111091,3538,1700,2100,1235,25,25,1000,4620,14264,3087,50,50,1000
TERHATHUM,7610,17300,2273,12350,27170,2200,2702,3242,1200,35,35,1000,1500,3150,2100,70,64,920
DHANKUTA,7664,22090,2882,7000,19000,2714,7700,8454,1098,5,4,700,1400,3050,2179,-,-,-
BHOJPUR,16093,36970,2297,36360,83735,2303,5505,6250,1135,35,35,1000,400,940,2350,15,23,1533
KHOTANG,12150,19400,1597,41060,75585,1841,21215,22635,1067,650,650,1000,5530,15208,2750,412,494,1200
OKHALDHUNGA,4350,9580,2202,12400,29760,2400,7751,10177,1313,105,110,1048,2365,4494,1900,101,94,933
UDAYAPUR,11500,40958,3562,10388,35123,3381,2760,3500,1268,19,17,895,5100,12240,2400,40,40,1000
E.HILLS,81117,199232,2456,169466,419899,2478,54148,65362,1207,874,876,1002,24830,59800,2408,1042,1178,1131
JHAPA,83000,315175,3797,35500,95000,2676,1785,2142,1200,1600,1500,938,9000,29700,3300,10,9,900
MORANG,78000,275925,3538,14000,46000,3286,1348,1617,1200,70,70,1000,16100,34615,2150,-,-,-
SUNSARI,44900,155110,3455,8350,25100,3006,680,714,1050,400,400,1000,14500,44800,3090,20,41,2050
SAPTARI,31900,82250,2578,2500,6500,2600,200,260,1300,-,-,-,17000,41000,2412,-,-,-
SIRAHA,33500,85000,2537,1700,5400,3176,640,640,1000,-,-,-,15210,30420,2000,-,-,-
E.TERAI,271300,913460,3367,62050,178000,2869,4653,5373,1155,2070,1970,952,71810,180535,2514,30,50,1667
E.REGION,371672,1154597,3106,265686,674953,2540,71022,84673,1192,3247,3177,978,100450,247918,2468,1580,1799,1139
DOLAKHA,3090,6500,2104,5500,12650,2300,3600,4250,1181,400,410,1025,4230,6979,1650,172,165,960
SINDHUPALCHOK,8750,20125,2300,18590,40890,2200,18445,20270,1099,-,-,-,6815,7074,1038,207,193,933
RASUWA,1050,2520,2400,2430,3850,1584,895,902,1008,-,-,-,715,1363,1907,288,336,1165
C.MOUNTAIN,12890,29145,2261,26520,57390,2164,22940,25422,1108,400,410,1025,11760,15416,1311,667,694,1040
RAMECHAP,9020,21654,2401,19345,48462,2505,5060,5100,1008,19,19,1000,3852,8089,2100,80,68,850
SINDHULI,13265,35900,2706,23620,58500,2477,11700,11880,1015,535,270,505,5650,14125,2500,56,85,1526
KAVRE,11308,33975,3005,25354,60849,2400,3515,4042,1150,608,666,1095,8925,21177,2373,708,707,999
BHAKTAPUR,4250,24400,5741,1855,7605,4100,110,156,1418,-,-,-,3000,10500,3500,46,47,1036
LALITPUR,4650,21166,4552,8589,27485,3200,560,575,1027,54,53,981,3000,7800,2600,51,29,578
KATHMANDU,7905,40200,5085,9923,33650,3391,852,860,1009,5,5,1000,3900,12480,3200,4,4,933
NUWAKOT,15695,62627,3990,20450,63800,3120,5200,6000,1154,200,245,1225,4158,13306,3200,187,157,837
DHADING,11545,41369,3583,19445,37538,1930,6930,7095,1024,-,-,-,4798,10220,2130,329,330,1004
MAKWANPUR,11130,35500,3190,23652,70956,3000,2645,3306,1250,185,205,1108,4205,12280,2920,202,236,1166
C.HILLS,88768,316791,3569,152233,408845,2686,36572,39014,1067,1606,1463,911,41488,109977,2651,1662,1663,1001
DHANUSHA,35200,121100,3440,2465,7800,3164,300,300,1000,-,-,-,40000,105000,2625,1,1,933
MAHOTTARI,25400,83500,3287,9200,26700,2902,-,-,-,-,-,-,29000,63800,2200,10,9,933
SARLAHI,42540,117500,2762,11140,48954,4394,950,968,1019,-,-,-,25622,60595,2365,71,71,999
RAUTAHAT,30400,101100,3326,2055,6800,3309,62,63,1016,-,-,-,15453,46780,3027,4,5,1166
BARA,55400,143900,2597,13400,42800,3194,79,103,1304,-,-,-,29150,87450,3000,81,94,1166
PARSA,40500,152000,3753,4075,14262,3500,85,90,1059,-,-,-,22532,73455,3260,35,42,1199
CHITWAN,27342,92925,3399,9310,26200,2814,1500,1630,1087,-,-,-,6020,20119,3342,30,42,1399
C.TERAI,256782,812025,3162,51645,173516,3360,2976,3154,1060,-,-,-,167777,457199,2725,233,265,1139
C.REGION,358440,1157961,3231,230398,639751,2777,62488,67590,1082,2006,1873,934,221024,582592,2636,2562,2622,1023
MANANG,-,-,-,177,347,1960,-,-,-,300,456,1520,195,460,2359,101,189,1865
