Area/Sex,Total,,,Population that have completed the educational level of,,,,,,,Non-formal education,Level not stated
,,Beginners,Primary (1-5),Lower Secondary (6 -8),Secondary (9 -10),S.L.C. & Equivalent,Intermediate & Equivalent,Graduate & Equivalent,Post Graduate Equivalent & Above,Others,,
Nepal,,,,,,,,,,,,
Total,16098519,639031,6285124,3266513,1857368,1636159,1036448,457744,158432,17141,668117,76442
Male,8832352,341944,3361832,1768964,1038105,932103,605011,306772,118829,9421,308647,40724
Female,7266167,297087,2923292,1497549,819263,704056,431437,150972,39603,7720,359470,35718
Urban/Rural,,,,,,,,,,,,
Urban,,,,,,,,,,,,
Total,3471763,109689,880148,601192,433292,517040,444472,251999,99762,3305,115694,15170
Male,1910442,59805,467191,322875,233884,284557,250010,160954,72068,1868,49145,8085
Female,1561321,49884,412957,278317,199408,232483,194462,91045,27694,1437,66549,7085
Rural,,,,,,,,,,,,
Total,12626756,529342,5404976,2665321,1424076,1119119,591976,205745,58670,13836,552423,61272
Male,6921910,282139,2894641,1446089,804221,647546,355001,145818,46761,7553,259502,32639
Female,5704846,247203,2510335,1219232,619855,471573,236975,59927,11909,6283,292921,28633
Ecological Belt,,,,,,,,,,,,
Mountain,,,,,,,,,,,,
Total,992714,56177,465064,195613,94775,73748,40948,11517,3220,1069,46776,3807
Male,563507,29003,251927,113470,58330,46663,26272,8990,2824,729,23276,2023
Female,429207,27174,213137,82143,36445,27085,14676,2527,396,340,23500,1784
Hill,,,,,,,,,,,,
Total,7625687,297627,2792693,1497612,858590,817142,563108,270917,107459,6007,382968,31564
Male,4063650,157188,1461708,775876,457590,452557,314306,173350,77935,3536,173118,16486
Female,3562037,140439,1330985,721736,401000,364585,248802,97567,29524,2471,209850,15078
Terai,,,,,,,,,,,,
Total,7480118,285227,3027367,1573288,904003,745269,432392,175310,47753,10065,238373,41071
Male,4205195,155753,1648197,879618,522185,432883,264433,124432,38070,5156,112253,22215
Female,3274923,129474,1379170,693670,381818,312386,167959,50878,9683,4909,126120,18856
Development Region,,,,,,,,,,,,
Eastern Dev. Region,,,,,,,,,,,,
Total,3598549,116757,1375945,756027,474270,421133,188870,74923,19405,2515,152614,16090
Male,1942796,62644,732152,397393,254647,228172,111020,53594,15637,1440,77491,8606
Female,1655753,54113,643793,358634,219623,192961,77850,21329,3768,1075,75123,7484
Central Dev. Region,,,,,,,,,,,,
Total,5689723,187251,2025963,1055949,624617,641908,516709,267972,104560,8179,221122,35493
Male,3231820,101381,1112636,595917,362463,378908,299432,173689,75305,4604,107750,19735
Female,2457903,85870,913327,460032,262154,263000,217277,94283,29255,3575,113372,15758
Western Dev. Region,,,,,,,,,,,,
Total,3236421,128964,1275160,702514,389829,318415,175609,64704,20147,2766,146792,11521
Male,1676777,69655,657064,355102,201858,169169,96084,42333,15955,1328,62571,5658
Female,1559644,59309,618096,347412,187971,149246,79525,22371,4192,1438,84221,5863
Mid-Western Dev. Region,,,,,,,,,,,,
Total,2081008,111796,941663,441122,206273,154720,85840,28296,7476,2338,93933,7551
Male,1136167,58614,500361,240756,120079,92514,53229,20617,6087,1291,38861,3758
Female,944841,53182,441302,200366,86194,62206,32611,7679,1389,1047,55072,3793
Far-Western Dev. Region,,,,,,,,,,,,
Total,1492818,94263,666393,310901,162379,99983,69420,21849,6844,1343,53656,5787
Male,844792,49650,359619,179796,99058,63340,45246,16539,5845,758,21974,2967
Female,648026,44613,306774,131105,63321,36643,24174,5310,999,585,31682,2820
Eco-Development Region,,,,,,,,,,,,
Eastern Mountain,,,,,,,,,,,,
Total,249453,9432,115481,52448,26370,21821,8761,2638,709,149,10745,899
Male,132452,4922,60697,26611,14100,12059,5233,1990,618,97,5671,454
Female,117001,4510,54784,25837,12270,9762,3528,648,91,52,5074,445
Eastern Hill,,,,,,,,,,,,
Total,1062911,33616,424902,233301,132977,113803,41212,12763,3428,582,61948,4379
Male,555430,17659,224282,117659,69107,59221,22317,9086,2861,319,30600,2319
Female,507481,15957,200620,115642,63870,54582,18895,3677,567,263,31348,2060
Eastern Terai,,,,,,,,,,,,
Total,2286185,73709,835562,470278,314923,285509,138897,59522,15268,1784,79921,10812
Male,1254914,40063,447173,253123,171440,156892,83470,42518,12158,1024,41220,5833
Female,1031271,33646,388389,217155,143483,128617,55427,17004,3110,760,38701,4979
Central Mountain,,,,,,,,,,,,
Total,292485,12773,131381,58839,27637,21385,12190,3150,1140,347,22362,1281
Male,159248,6638,70902,31875,15567,12447,6730,2194,948,217,11038,692
Female,133237,6135,60479,26964,12070,8938,5460,956,192,130,11324,589
Central Hill,,,,,,,,,,,,
Total,3161057,106516,925615,543185,353607,404389,366391,206869,88063,3050,147477,15895
Male,1742887,56994,497599,293748,191825,228656,203383,128561,61962,1929,69580,8650
Female,1418170,49522,428016,249437,161782,175733,163008,78308,26101,1121,77897,7245
Central Terai,,,,,,,,,,,,
Total,2236181,67962,968967,453925,243373,216134,138128,57953,15357,4782,51283,18317
Male,1329685,37749,544135,270294,155071,137805,89319,42934,12395,2458,27132,10393
Female,906496,30213,424832,183631,88302,78329,48809,15019,2962,2324,24151,7924
Western Mountain,,,,,,,,,,,,
Total,13086,450,5038,2550,1132,1299,1038,300,86,82,1080,31
Male,8000,242,2847,1600,744,909,668,265,79,70,559,17
Female,5086,208, 2191,950,388,390,370,35,7,12,521,14
Western Hill,,,,,,,,,,,,
Total,1941264,70600,735348,424616,235126,208617,101619,36438,11947,1192,110040,5721
Male,960374,37747,365004,198014,114056,107743,53738,23960,9609,631,47132,2740
Female,980890,32853,370344,226602,121070,100874,47881,12478,2338,561,62908,2981
Western Terai,,,,,,,,,,,,
Total,1282071,57914,534774,275348,153571,108499,72952,27966,8114,1492,35672,5769
Male,708403,31666,289213,155488,87058,60517,41678,18108,6267,627,14880,2901
Female,573668,26248,245561,119860,66513,47982,31274,9858,1847,865,20792,2868
Mid-Western Mountain,,,,,,,,,,,,
Total,189480,14933,91141,35319,16731,13826,7799,2130,435,239,6208,719
Male,116797,7633,50572,23476,12375,10398,6080,1887,406,188,3379,403
Female,72683,7300,40569,11843,4356,3428,1719,243,29,51,2829,316
Mid-Western Hill,,,,,,,,,,,,
Total,989854,53348,478295,203670,91654,63784,35172,9784,2490,750,46997,3910
Male,534396,27581,251410,110780,53257,38920,21884,7437,2091,410,18718,1908
Female,455458,25767,226885,92890,38397,24864,13288,2347,399,340,28279,2002
Mid-Western Terai,,,,,,,,,,,,
Total,901674,43515,372227,202133,97888,77110,42869,16382,4551,1349,40728,2922
Male,484974,23400,198379,106500,54447,43196,25265,11293,3590,693,16764,1447
Female,416700,20115,173848,95633,43441,33914,17604,5089,961,656,23964,1475
Far-Western Mountain,,,,,,,,,,,,
Total,248210,18589,122023,46457,22905,15417,11160,3299,850,252,6381,877,
Male,147010,9568,66909,29908,15544,10850,7561,2654,773,157,2629,457,
Female,101200,9021,55114,16549,7361,4567,3599,645,77,95,3752,420,
Far-Western Hill,,,,,,,,,,,,
Total,470601,33547,228533,92840,45226,26549,18714,5063,1531,433,16506,1659
Male,270563,17207,123413,55675,29345,18017,12984,4306,1412,247,7088,869
Female,200038,16340,105120,37165,15881,8532,5730,757,119,186,9418,790
Far-Western Terai,,,,,,,,,,,,
Total,774007,42127,315837,171604,94248,58017,39546,13487,4463,658,30769,3251
Male,427219,22875,169297,94213,54169,34473,24701,9579,3660,354,12257,1641
Female,346788,19252,146540,77391,40079,23544,14845,3908,803,304,18512,1610
District,,,,,,,,,,,,
Taplejung,,,,,,,,,,,,
Total,83919,3512,36579,18542,9990,8691,2665,841,236,3,2517,343
Male,44026,1841,19148,9121,5230,4625,1615,630,205,2,1424,185
Female,39893,1671,17431,9421,4760,4066,1050,211,31,1,1093,158
Panchthar,,,,,,,,,,,,
Total,129869,4088,52014,29902,17621,13534,4861,1607,366,20,5612,244
Male,67077,2167,27571,14621,8926,6697,2543,1121,306,14,2974,137
Female,62792,1921,24443,15281,8695,6837,2318,486,60,6,2638,107
Ilam,,,,,,,,,,,,
Total,212402,4012,78393,49479,30226,20845,9784,3409,863,49,13775,1567
Male,111108,2094,42320,24764,15147,10588,5287,2298,682,29,7028,871
Female,101294,1918,36073,24715,15079,10257,4497,1111,181,20,6747,696
Jhapa,,,,,,,,,,,,
Total,563926,18550,183611,123545,89680,70598,33733,13530,3501,94,25574,1510
Male,290850,9961,95630,61692,43098,35354,18785,9146,2749,52,13590,793
Female,273076,8589,87981,61853,46582,35244,14948,4384,752,42,11984,717
Morang,,,,,,,,,,,,
Total,629142,19408,223219,128402,85627,81641,38125,18193,5273,203,27039,2012
Male,337120,10367,118384,67561,44661,42528,22096,12817,4101,111,13479,1015
Female,292022,9041,104835,60841,40966,39113,16029,5376,1172,92,13560,997
Sunsari,,,,,,,,,,,,
Total,483344,18800,173348,95610,63538,68306,29105,11390,3010,268,18209,1760
Male,262823,10017,93296,51608,34416,36374,16847,7805,2271,167,9124,898
Female,220521,8783,80052,44002,29122,31932,12258,3585,739,101,9085,862
Dhankuta,,,,,,,,,,,,
Total,112354,4102,40915,24465,15238,12312,4712,1639,545,70,8189,167
Male,57810,2176,21362,12183,7640,6417,2637,1112,435,38,3741,69
Female,54544,1926,19553,12282,7598,5895,2075,527,110,32,4448,98
Terhathum,,,,,,,,,,,,
Total,70012,1670,24730,15962,9502,10735,2440,901,247,50,3598,177
Male,36064,906,12713,7682,4952,5573,1428,661,217,30,1810,92
Female,33948,764,12017,8280,4550,5162,1012,240,30,20,1788,85
Sankhuwasabha,,,,,,,,,,,,
Total,102011,3554,47527,21265,10249,8510,3336,1102,301,83,5652,432
Male,53517,1893,24380,10560,5533,4815,2065,808,259,47,2951,206
Female,48494,1661,23147,10705,4716,3695,1271,294,42,36,2701,226
Bhojpur,,,,,,,,,,,,
Total,116984,4106,50350,25130,13502,11563,2970,1035,274,83,7707,264
Male,61786,2195,26317,12905,7312,6266,1795,816,239,40,3774,127
Female,55198,1911,24033,12225,6190,5297,1175,219,35,43,3933,137
Solukhumbu,,,,,,,,,,,,
